MAID	NAME	FORMULA	Ontology	INCHIKEY	SMILES	INSTRUMENTTYPE	ExactMass	PUBCHEM	Num_Spectra	Species	Cas	KEGG	Reaction	Pathway	Biospecimen	Healthcondition
MA000001	4-Acetamidobutyric acid	C6H11NO3	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	UZTFMUBKZQVKLK-UHFFFAOYSA-N	CC(=O)NCCCC(O)=O	ESI-QFT|ESI-QTOF|GC-EI-TOF|GC-MS	145.07389321199997	18189	18	human	3025-96-5				urine	
MA000002	Adenosine 3',5'-cyclic monophosphate	C10H12N5O6P	Nucleosides, nucleotides, and analogues|Purine nucleotides|Cyclic purine nucleotides	IVOMOUWHDPKRLL-KQYNXXCUSA-N	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O	ESI-QFT|ESI-QTOF|ESI-ITFT|ESI-QQQ|GC-EI-TOF|GC-MS	329.052519734	6076	60	human	60-92-4	C03199			urine	Chronic renal failure|Hypoxic-ischemic encephalopathy|Idiopathic polyneuritis|Nervous system disorders|Headache
MA000003	Adenosine 5'-monophosphate	C10H14N5O7P	Nucleosides, nucleotides, and analogues|Purine nucleotides|Purine ribonucleotides	UDMBCSSLTHHNCD-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	ESI-QFT|ESI-ITFT|ESI-QTOF|ESI-QQQ|GC-MS	347.06308441799996	6083	63	human	61-19-8	C03207	R04166		urine	
MA000004	Latanoprost	C26H40O5	Lipids and lipid-like molecules|Fatty Acyls|Eicosanoids	GGXICVAJURFBLW-CEYXHVGTSA-N	CC(C)OC(=O)CCCC=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1	ESI-QFT|ESI-QTOF	432.28757438	5311221	2	human	130209-82-4				urine	
MA000005	4-Acetylbutyric acid	C6H10O3	Lipids and lipid-like molecules|Fatty Acyls|Fatty acids and conjugates	MGTZCLMLSSAXLD-UHFFFAOYSA-N	CC(=O)CCCC(O)=O	ESI-QFT|ESI-QQQ|GC-EI-TOF	130.06299417999998	18407	9	human	3128-06-1				saliva	
MA000006	(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid	C10H9NO3	Organoheterocyclic compounds|Indoles and derivatives|Indolyl carboxylic acids and derivatives	ILGMGHZPXRDCCS-UHFFFAOYSA-N	OC(=O)CC1C(O)=NC2=CC=CC=C12	ESI-QFT|ESI-QTOF	191.058243148	3080590	4	human	2971-31-5	C22202	R12501	map00380	feces	
MA000007	1,1-Dimethyl-4-phenylpiperazinium	C12H18N2	Organoheterocyclic compounds|Diazinanes|Piperazines	WVHNHHJEHFWYHH-UHFFFAOYSA-N	C=1C=CC(=CC1)C2NC(C)C(NC2)C	ESI-QFT|ESI-QTOF	190.146998576	5310977	2							
MA000008	1,2-Cyclohexanediol	C6H12O2	Organic oxygen compounds|Organooxygen compounds|Alcohols and polyols	PFURGBBHAOXLIO-OLQVQODUSA-N	OC1CCCCC1O	ESI-QFT|EI-B	116.083729624	92903	2		1792-81-0	C12313	R06621	map00930|map01120		
MA000009	1,2-Cyclohexanedione	C6H8O2	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	OILAIQUEIWYQPH-UHFFFAOYSA-N	O=C1CCCCC1=O	ESI-QFT|GC-EI-TOF|EI-B	112.052429496	13006	11	human	765-87-7	C10823				
MA000010	1,3,7-Trimethyluric acid	C8H10N4O3	Organoheterocyclic compounds|Imidazopyrimidines|Purines and purine derivatives	BYXCFUMGEBZDDI-UHFFFAOYSA-N	CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2C	ESI-QFT|ESI-QTOF|ESI-QQQ	210.07529017999997	79437	13	human	5415-44-1				urine	
