MZ,Intensity
49.5029,0
49.5031,0
49.5033,0
55.9336,0
55.9338,0
55.934,0
55.9352,0.83477
55.9364,0
55.9366,0
55.9368,0
56.9416,0
56.9418,0
56.942,0
56.943,0.45797
56.944,0
56.9442,0
56.9444,0
56.964,0
56.9642,0
56.9644,0
56.9656,0.998526
56.9669,0
56.9671,0
56.9673,0
57.0694,0
57.0696,0
57.0698,0
57.0708,0.279464
57.0716,0
57.0718,0
57.072,0
57.9339,0
57.9341,0
57.9344,0
57.9356,1.312394
57.9368,0
57.9371,0
57.9373,0
58.064,0
58.0642,0
58.0644,0
58.0659,5.437239
58.068,0
58.0682,0
58.0684,0
58.0686,0
58.9316,0
58.9318,0
58.9321,0
58.9336,4.187016
58.935,0
58.9353,0
58.9355,0
58.9419,0
58.9421,0
58.9423,0
58.9434,0.910112
58.9447,0
58.9449,0
58.9451,0
59.0711,0
59.0713,0
59.0715,0
59.0718,0
59.0739,7.404743
59.0754,0.206731
59.0758,0
59.0761,0
59.0763,0
59.0765,0
59.4132,0
59.4134,0
59.4136,0
59.4145,0.18249
59.4154,0
59.4156,0
59.4158,0
59.9293,0
59.9295,0
59.9298,0
59.9311,1.901493
59.9324,0
59.9326,0
59.9329,0
59.9395,0
59.9397,0
59.9399,0
59.9414,1.531109
59.9427,0
59.943,0
59.9432,0
61.2436,0
61.2439,0
61.2441,0
61.245,0.174726
61.2459,0
61.2461,0
61.2464,0
63.4143,0
63.4145,0
63.4148,0
63.4157,0.175354
63.4167,0
63.4169,0
63.4171,0
64.2592,0
64.2594,0
64.2597,0
64.2606,0.18851
64.2616,0
64.2618,0
64.2621,0
68.9811,0
68.9814,0
68.9817,0
68.983,0.683786
68.9844,0
68.9846,0
68.9849,0
72.0781,0
72.0784,0
72.0787,0
72.0816,83.176673
72.0839,0
72.0842,0
72.0845,0
72.0847,0
72.085,0
72.0853,0
72.0856,0
72.0859,0
72.0862,0
72.0864,0
72.0867,0
72.087,0
72.0873,0
72.9356,0
72.9359,0
72.9362,0
72.9377,0.997065
72.9395,0
72.9398,0
72.9401,0
75.9436,0
75.944,0
75.9443,0
75.9462,0.95419
75.9481,0
75.9484,0
75.9487,0
76.9315,0
76.9319,0
76.9322,0
76.9338,0.264359
76.9354,0
76.9357,0
76.936,0
76.9517,0
76.952,0
76.9523,0
76.9539,0.227287
76.9552,0
76.9555,0
76.9558,0
84.9571,0
84.9574,0
84.9578,0
84.9604,3.491887
84.963,0
84.9634,0
84.9637,0
85.9604,0
85.9608,0
85.9611,0
85.9615,0
85.9638,2.784594
85.9665,0
85.9668,0
85.9672,0
86.9393,0
86.9397,0
86.9401,0
86.9416,0.238318
86.9432,0
86.9436,0
86.9439,0
86.9536,0
86.9539,0
86.9543,0
86.9563,0.667466
86.9586,0
86.9589,0
86.9593,0
86.962,0
86.9624,0
86.9628,0
86.9647,0.394631
86.9664,0
86.9667,0
86.9671,0
86.9906,0
86.991,0
86.9914,0
86.9937,0.944098
86.9955,0
86.9959,0
86.9962,0
90.9448,0
90.9452,0
90.9456,0
90.9485,1.858568
90.9509,0
90.9514,0
90.9518,0
91.0221,0
91.0226,0
91.023,0
91.0246,0.208688
91.0263,0
91.0267,0
91.0271,0
91.9379,0
91.9384,0
91.9388,0
91.9409,0.289887
91.9425,0
91.9429,0
91.9434,0
93.9538,0
93.9543,0
93.9547,0
93.9564,0.241602
93.9586,0
93.959,0
93.9594,0
98.9588,0
98.9593,0
98.9598,0
98.9621,0.255286
98.964,0
98.9644,0
98.9649,0
100.1089,0
100.1093,0
100.1098,0
100.1127,0.594027
100.115,0
100.1155,0
100.116,0
100.576,0
100.5765,0
100.577,0
100.5789,0.20682
100.5808,0
100.5813,0
100.5817,0
102.9537,0
102.9541,0
102.9546,0
102.9566,0.259149
102.9586,0
102.9591,0
102.9596,0
102.967,0
102.9675,0
102.968,0
102.971,0.745331
102.9735,0
102.974,0
102.9745,0
103.9708,0
103.9713,0
103.9718,0
103.9743,0.526389
103.9769,0
103.9774,0
103.9779,0
104.9445,0
104.945,0
104.9455,0
104.946,0
104.9485,1.202957
104.9516,0
104.9521,0
104.9526,0
104.9597,0
104.9603,0
104.9608,0
104.9638,1.460284
104.9669,0
104.9674,0
104.9679,0
104.9995,0
105,0
105.0005,0
105.0036,2.201666
105.0072,0
105.0077,0
105.0082,0
106.9405,0
106.941,0
106.9416,0
106.9437,0.333207
106.9463,0
106.9468,0
106.9473,0
108.9547,0
108.9552,0
108.9558,0
108.959,0.729598
108.9617,0
108.9622,0
108.9628,0
114.9524,0
114.953,0
114.9536,0
114.9565,0.70505
114.96,0
114.9606,0
114.9612,0
115.9608,0
115.9614,0
115.962,0
115.9644,0.238192
115.9668,0
115.9674,0
115.968,0
116.967,0
116.9676,0
116.9682,0
116.9724,6.294773
116.9766,0
116.9772,0
116.9778,0
117.9645,0
117.9651,0
117.9657,0
117.9699,5.174587
117.9737,0
117.9743,0
117.9749,0
117.9755,0
117.9761,0
117.9767,0
117.9798,1.067166
117.9839,0
117.9845,0
117.9851,0
118.0581,0
118.0587,0
118.0593,0
118.0599,0
118.0605,0
118.0611,0
118.0617,0
118.0623,0
118.0629,0
118.0635,0
118.0641,0
118.0648,0
118.0654,0
118.066,0
118.0666,0
118.0672,0
118.0678,0
118.0684,0
118.069,0
118.0696,0
118.0702,0
118.0708,0
118.0714,0
118.0721,0
118.0727,0
118.0733,0
118.0739,0
118.0794,0
118.08,0
118.0806,0
118.0867,100
118.0921,0
118.0927,0
118.0933,0
118.094,0
118.0946,0
118.0952,0
118.0958,0
118.0964,0
118.0971,0
118.0977,0
118.0983,0
118.099,0
118.1178,0
118.1184,0
118.119,0
118.1233,1.955138
118.1269,0
118.1275,0
118.1281,0
118.963,0
118.9636,0
118.9642,0
118.9679,1.845931
118.9716,0
118.9722,0
118.9728,0
119.0153,0
119.0159,0
119.0165,0
119.0196,0.347957
119.0221,0
119.0227,0
119.0233,0
119.0812,0
119.0818,0
119.0824,0
119.0861,0.93201
119.0898,0.331712
119.0929,0
119.0935,0
119.0941,0
120.977,0
120.9777,0
120.9783,0
120.9808,0.232364
120.984,0
120.9846,0
120.9853,0
122.0148,0
122.0155,0
122.0161,0
122.0199,0.905136
122.0231,0
122.0238,0
122.0244,0
122.9696,0
122.9702,0
122.9709,0
122.9741,0.495231
122.9773,0
122.978,0
122.9786,0
123.0097,0
123.0103,0
123.011,0
123.0142,0.542271
123.0174,0
123.018,0
123.0187,0
132.9619,0
132.9626,0
132.9634,0
132.967,0.491149
132.9706,0
132.9714,0
132.9721,0
133.9703,0
133.971,0
133.9718,0
133.9747,0.306118
133.9784,0
133.9791,0
133.9799,0
141.4094,0
141.4102,0
141.411,0
